# ----------------------------------------
# All Web Site Data
# User Explorer
# 20161101-20170101
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
6324881.1477520485,31,00:06:45,9.68%,US$0.00,0,0.00%
1308444126.1481808658,30,00:18:59,10.00%,US$0.00,0,0.00%
1736409630.1478406448,30,00:17:23,6.67%,US$0.00,0,0.00%
2059506302.1473608978,30,00:04:33,16.67%,US$0.00,0,0.00%
426701990.1477129600,30,00:06:24,30.00%,US$0.00,0,0.00%
767404547.1481356257,30,00:11:56,3.33%,US$0.00,0,0.00%
1623297972.1482345375,29,00:06:51,6.90%,US$0.00,0,0.00%
450409141.1479495729,29,00:09:31,3.45%,US$0.00,0,0.00%
87006917.1478399894,29,00:04:55,34.48%,US$0.00,0,0.00%
1202615155.1480465213,28,00:05:59,32.14%,US$0.00,0,0.00%
1405785108.1470871678,28,00:04:55,7.14%,US$0.00,0,0.00%
1953054516.1481773904,28,00:15:22,14.29%,US$0.00,0,0.00%
2130740279.1481166021,28,00:17:35,0.00%,US$0.00,0,0.00%
375876863.1481553415,28,00:10:54,14.29%,US$0.00,0,0.00%
876652202.1481098603,28,00:03:22,7.14%,US$0.00,0,0.00%
1323063988.1481783596,27,00:22:00,7.41%,US$0.00,0,0.00%
1486994301.1476028213,27,00:00:00,100.00%,US$0.00,0,0.00%
1953841874.1481646745,27,00:09:44,3.70%,US$0.00,0,0.00%
301977816.1473337200,27,00:02:42,14.81%,US$0.00,0,0.00%
459183206.1479610639,27,00:06:47,18.52%,US$0.00,0,0.00%
680434659.1476703674,27,00:11:09,22.22%,US$0.00,0,0.00%
797677413.1479208621,27,00:05:14,7.41%,US$0.00,0,0.00%
873989870.1477715181,27,00:07:27,14.81%,US$0.00,0,0.00%
1122185837.1476013455,26,00:15:48,11.54%,US$0.00,0,0.00%
1304931433.1480457229,26,00:07:08,11.54%,US$0.00,0,0.00%
150558105.1479937405,26,00:04:14,11.54%,US$0.00,0,0.00%
2108398473.1478817001,26,00:03:25,50.00%,US$0.00,0,0.00%
1065537585.1480397536,25,00:08:48,32.00%,US$0.00,0,0.00%
1110243718.1478408062,25,00:04:41,20.00%,US$0.00,0,0.00%
1446683877.1479297828,25,00:15:56,24.00%,US$0.00,0,0.00%
1937269843.1476318333,25,00:18:13,8.00%,US$0.00,0,0.00%
2111950909.1480939221,25,00:05:41,16.00%,US$0.00,0,0.00%
2141883000.1480686032,25,00:06:00,36.00%,US$0.00,0,0.00%
386058125.1474915608,25,00:09:23,24.00%,US$0.00,0,0.00%
785234439.1477710428,25,00:10:18,4.00%,US$0.00,0,0.00%
816269433.1471006999,25,00:27:54,8.00%,US$0.00,0,0.00%
896031717.1481778618,25,00:11:20,8.00%,US$0.00,0,0.00%
1201342697.1474945752,24,00:02:55,4.17%,US$0.00,0,0.00%
1418062669.1479407450,24,00:02:29,16.67%,US$0.00,0,0.00%
145963613.1476362310,24,00:08:01,25.00%,US$0.00,0,0.00%
189658837.1479958985,24,00:10:13,16.67%,US$0.00,0,0.00%
244874025.1472553625,24,00:34:46,33.33%,US$0.00,0,0.00%
355337687.1478610523,24,00:07:48,4.17%,US$0.00,0,0.00%
506671585.1478442651,24,00:05:19,20.83%,US$0.00,0,0.00%
1388012012.1478434368,23,00:07:59,17.39%,US$0.00,0,0.00%
1448102768.1478554523,23,00:07:52,8.70%,US$0.00,0,0.00%
1629635836.1474876489,23,00:06:34,4.35%,US$0.00,0,0.00%
1650878076.1480173917,23,00:10:38,17.39%,US$0.00,0,0.00%
1692020483.1472126205,23,00:12:40,30.43%,US$0.00,0,0.00%
1830456673.1479091828,23,00:13:48,13.04%,US$0.00,0,0.00%
1908979319.1477158388,23,00:01:27,73.91%,US$0.00,0,0.00%
1989932595.1479334043,23,00:12:19,13.04%,US$0.00,0,0.00%
2014105848.1479746123,23,00:06:41,17.39%,US$0.00,0,0.00%
2092783783.1482034909,23,00:16:07,17.39%,US$0.00,0,0.00%
210997747.1478767731,23,00:03:19,17.39%,US$0.00,0,0.00%
2117200371.1478795194,23,00:03:53,13.04%,US$0.00,0,0.00%
